DaytimeStressKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;stress_value;recovery_value;timestamp
user1_daytimestress_20250601_1;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_1;35;65;2025-06-01T08:00:00-04:00
user1_daytimestress_20250601_2;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_2;40;60;2025-06-01T09:00:00-04:00
user1_daytimestress_20250601_3;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_3;30;70;2025-06-01T10:00:00-04:00
user1_daytimestress_20250601_4;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_4;50;50;2025-06-01T11:00:00-04:00
user1_daytimestress_20250601_5;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_5;60;40;2025-06-01T12:00:00-04:00
user1_daytimestress_20250601_6;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_6;45;55;2025-06-01T13:00:00-04:00
user1_daytimestress_20250601_7;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_7;25;75;2025-06-01T14:00:00-04:00
user1_daytimestress_20250601_8;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250601_8;20;80;2025-06-01T15:00:00-04:00
user1_daytimestress_20250602_1;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_1;30;70;2025-06-02T08:00:00-04:00
user1_daytimestress_20250602_2;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_2;35;65;2025-06-02T09:00:00-04:00
user1_daytimestress_20250602_3;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_3;25;75;2025-06-02T10:00:00-04:00
user1_daytimestress_20250602_4;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_4;45;55;2025-06-02T11:00:00-04:00
user1_daytimestress_20250602_5;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_5;55;45;2025-06-02T12:00:00-04:00
user1_daytimestress_20250602_6;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_6;40;60;2025-06-02T13:00:00-04:00
user1_daytimestress_20250602_7;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_7;20;80;2025-06-02T14:00:00-04:00
user1_daytimestress_20250602_8;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250602_8;15;85;2025-06-02T15:00:00-04:00
user1_daytimestress_20250603_1;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_1;45;55;2025-06-03T08:00:00-04:00
user1_daytimestress_20250603_2;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_2;50;50;2025-06-03T09:00:00-04:00
user1_daytimestress_20250603_3;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_3;40;60;2025-06-03T10:00:00-04:00
user1_daytimestress_20250603_4;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_4;60;40;2025-06-03T11:00:00-04:00
user1_daytimestress_20250603_5;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_5;70;30;2025-06-03T12:00:00-04:00
user1_daytimestress_20250603_6;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_6;55;45;2025-06-03T13:00:00-04:00
user1_daytimestress_20250603_7;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_7;35;65;2025-06-03T14:00:00-04:00
user1_daytimestress_20250603_8;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250603_8;30;70;2025-06-03T15:00:00-04:00
user1_daytimestress_20250604_1;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_1;25;75;2025-06-04T08:00:00-04:00
user1_daytimestress_20250604_2;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_2;30;70;2025-06-04T09:00:00-04:00
user1_daytimestress_20250604_3;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_3;20;80;2025-06-04T10:00:00-04:00
user1_daytimestress_20250604_4;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_4;40;60;2025-06-04T11:00:00-04:00
user1_daytimestress_20250604_5;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_5;50;50;2025-06-04T12:00:00-04:00
user1_daytimestress_20250604_6;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_6;35;65;2025-06-04T13:00:00-04:00
user1_daytimestress_20250604_7;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_7;15;85;2025-06-04T14:00:00-04:00
user1_daytimestress_20250604_8;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250604_8;10;90;2025-06-04T15:00:00-04:00
user1_daytimestress_20250605_1;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_1;50;50;2025-06-05T08:00:00-04:00
user1_daytimestress_20250605_2;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_2;55;45;2025-06-05T09:00:00-04:00
user1_daytimestress_20250605_3;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_3;45;55;2025-06-05T10:00:00-04:00
user1_daytimestress_20250605_4;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_4;65;35;2025-06-05T11:00:00-04:00
user1_daytimestress_20250605_5;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_5;75;25;2025-06-05T12:00:00-04:00
user1_daytimestress_20250605_6;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_6;60;40;2025-06-05T13:00:00-04:00
user1_daytimestress_20250605_7;user-1;user_1;2025-07-01T10:00:00Z;u1_daytimestress_20250605_7;40;60;2025-06-05T14:00:00-04:00
